Date : 2023-09-10 18:34:35
Directory : d:\RECENT\校招\技术\Program\acid
Total : 101 files,  13790 codes, 1837 comments, 2089 blanks, all 17716 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
+--------------+------------+------------+------------+------------+------------+
| C++          |         89 |     10,727 |      1,836 |      1,628 |     14,191 |
| Markdown     |         10 |      2,848 |          0 |        456 |      3,304 |
| HTML         |          1 |        199 |          0 |          2 |        201 |
| Shell Script |          1 |         16 |          1 |          3 |         20 |
+--------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                   |        101 |     13,790 |      1,837 |      2,089 |     17,716 |
| . (Files)                                                           |          2 |         54 |          1 |         13 |         68 |
| acid                                                                |         67 |      9,578 |      1,717 |      1,488 |     12,783 |
| acid (Files)                                                        |          1 |         29 |          3 |          7 |         39 |
| acid\common                                                         |         13 |      2,075 |        395 |        313 |      2,783 |
| acid\http                                                           |         16 |      2,233 |        247 |        339 |      2,819 |
| acid\http (Files)                                                   |         12 |      2,075 |        214 |        308 |      2,597 |
| acid\http\servlets                                                  |          4 |        158 |         33 |         31 |        222 |
| acid\kvraft                                                         |          5 |        594 |         55 |         75 |        724 |
| acid\net                                                            |         10 |      1,600 |        215 |        286 |      2,101 |
| acid\raft                                                           |         11 |      1,383 |        430 |        220 |      2,033 |
| acid\rpc                                                            |         11 |      1,664 |        372 |        248 |      2,284 |
| docs                                                                |          8 |      2,685 |          0 |        418 |      3,103 |
| example                                                             |          3 |        372 |          7 |         39 |        418 |
| example\kvhttp                                                      |          3 |        372 |          7 |         39 |        418 |
| tests                                                               |         21 |      1,101 |        112 |        131 |      1,344 |
| tests\http                                                          |          4 |        169 |         19 |         19 |        207 |
| tests\kvraft                                                        |          2 |         96 |         12 |         19 |        127 |
| tests\raft                                                          |          4 |        161 |         20 |         25 |        206 |
| tests\rpc                                                           |          4 |        317 |         18 |         41 |        376 |
| tests\test                                                          |          7 |        358 |         43 |         27 |        428 |
+---------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------+--------------+------------+------------+------------+------------+
| filename                                                            | language     | code       | comment    | blank      | total      |
+---------------------------------------------------------------------+--------------+------------+------------+------------+------------+
| d:\RECENT\校招\技术\Program\acid\README.md                              | Markdown     |         38 |          0 |         10 |         48 |
| d:\RECENT\校招\技术\Program\acid\acid\acid.h                            | C++          |         29 |          3 |          7 |         39 |
| d:\RECENT\校招\技术\Program\acid\acid\common\byte_array.cpp             | C++          |        543 |          3 |         91 |        637 |
| d:\RECENT\校招\技术\Program\acid\acid\common\byte_array.h               | C++          |         99 |        323 |         68 |        490 |
| d:\RECENT\校招\技术\Program\acid\acid\common\config.cpp                 | C++          |         58 |          3 |          8 |         69 |
| d:\RECENT\校招\技术\Program\acid\acid\common\config.h                   | C++          |        338 |          8 |         30 |        376 |
| d:\RECENT\校招\技术\Program\acid\acid\common\lexical_cast.cpp           | C++          |         32 |          3 |         12 |         47 |
| d:\RECENT\校招\技术\Program\acid\acid\common\lexical_cast.h             | C++          |        119 |          6 |         24 |        149 |
| d:\RECENT\校招\技术\Program\acid\acid\common\reflection.h               | C++          |        557 |          5 |         10 |        572 |
| d:\RECENT\校招\技术\Program\acid\acid\common\stream.cpp                 | C++          |         53 |          3 |          6 |         62 |
| d:\RECENT\校招\技术\Program\acid\acid\common\stream.h                   | C++          |         22 |          3 |          7 |         32 |
| d:\RECENT\校招\技术\Program\acid\acid\common\time_measure.h             | C++          |         59 |          6 |         10 |         75 |
| d:\RECENT\校招\技术\Program\acid\acid\common\traits.h                   | C++          |         53 |          9 |         14 |         76 |
| d:\RECENT\校招\技术\Program\acid\acid\common\util.cpp                   | C++          |         72 |          3 |         11 |         86 |
| d:\RECENT\校招\技术\Program\acid\acid\common\util.h                     | C++          |         70 |         20 |         22 |        112 |
